name,r,g,b,cx,cy,cz,w,h
panel_body,0.0232,0.0176,0.0382,0.00000,0.09828,0.00000,0.10020,0.15036
title_lag_menu,1.0000,1.0000,1.0000,0.00000,0.15966,0.00502,0.09900,0.02079
title_underline,0.3372,0.1470,0.9131,0.00000,0.15306,0.00416,0.02009,0.00128
row_back_outline,0.0704,0.0497,0.1470,0.00000,0.14184,0.00409,0.09416,0.01298
row_back_face,0.0060,0.0052,0.0086,0.00000,0.14184,0.00426,0.09315,0.01197
row_0_label,1.0000,1.0000,1.0000,0.00000,0.14184,0.00515,0.08250,0.01254
row_01_outline,0.0704,0.0497,0.1470,0.00000,0.12831,0.00409,0.09416,0.01298
row_01_face,0.0060,0.0052,0.0086,0.00000,0.12831,0.00426,0.09315,0.01197
row_1_label,1.0000,1.0000,1.0000,-0.00363,0.12831,0.00515,0.08250,0.01122
row_1_chevron,1.0000,1.0000,1.0000,0.04224,0.12831,0.00515,0.00660,0.01254
row_02_outline,0.0704,0.0497,0.1470,0.00000,0.11478,0.00409,0.09416,0.01298
row_02_face,0.0060,0.0052,0.0086,0.00000,0.11478,0.00426,0.09315,0.01197
row_2_label,1.0000,1.0000,1.0000,-0.00363,0.11478,0.00515,0.08250,0.01122
row_2_chevron,1.0000,1.0000,1.0000,0.04224,0.11478,0.00515,0.00660,0.01254
row_03_outline,0.0704,0.0497,0.1470,0.00000,0.10125,0.00409,0.09416,0.01298
row_03_face,0.0060,0.0052,0.0086,0.00000,0.10125,0.00426,0.09315,0.01197
row_3_label,1.0000,1.0000,1.0000,-0.00363,0.10125,0.00515,0.08250,0.01122
row_3_chevron,1.0000,1.0000,1.0000,0.04224,0.10125,0.00515,0.00660,0.01254
row_04_outline,0.0704,0.0497,0.1470,0.00000,0.08772,0.00409,0.09416,0.01298
row_04_face,0.0060,0.0052,0.0086,0.00000,0.08772,0.00426,0.09315,0.01197
row_4_label,1.0000,1.0000,1.0000,-0.00363,0.08772,0.00515,0.08250,0.01122
row_4_chevron,1.0000,1.0000,1.0000,0.04224,0.08772,0.00515,0.00660,0.01254
row_05_outline,0.0704,0.0497,0.1470,0.00000,0.07419,0.00409,0.09416,0.01298
row_05_face,0.0060,0.0052,0.0086,0.00000,0.07419,0.00426,0.09315,0.01197
row_5_label,1.0000,1.0000,1.0000,-0.00363,0.07419,0.00515,0.08250,0.01122
row_5_chevron,1.0000,1.0000,1.0000,0.04224,0.07419,0.00515,0.00660,0.01254
row_06_outline,0.0704,0.0497,0.1470,0.00000,0.06066,0.00409,0.09416,0.01298
row_06_face,0.0060,0.0052,0.0086,0.00000,0.06066,0.00426,0.09315,0.01197
row_6_label,1.0000,1.0000,1.0000,-0.00363,0.06066,0.00515,0.08250,0.01122
row_6_chevron,1.0000,1.0000,1.0000,0.04224,0.06066,0.00515,0.00660,0.01254
row_07_outline,0.0704,0.0497,0.1470,0.00000,0.04713,0.00409,0.09416,0.01298
row_07_face,0.0060,0.0052,0.0086,0.00000,0.04713,0.00426,0.09315,0.01197
row_7_label,1.0000,1.0000,1.0000,-0.00363,0.04713,0.00515,0.08250,0.01122
row_7_chevron,1.0000,1.0000,1.0000,0.04224,0.04713,0.00515,0.00660,0.01254
row_08_outline,0.0704,0.0497,0.1470,0.00000,0.03360,0.00409,0.09416,0.01298
row_08_face,0.0060,0.0052,0.0086,0.00000,0.03360,0.00426,0.09315,0.01197
row_8_label,1.0000,1.0000,1.0000,-0.00363,0.03360,0.00515,0.08250,0.01122
row_8_chevron,1.0000,1.0000,1.0000,0.04224,0.03360,0.00515,0.00660,0.01254
rail_prev_body,0.0232,0.0176,0.0382,-0.06666,0.09828,0.00000,0.02100,0.14112
rail_prev_arrow,1.0000,1.0000,1.0000,-0.06666,0.09828,0.00502,0.01980,0.02772
rail_next_body,0.0232,0.0176,0.0382,0.06666,0.09828,0.00000,0.02100,0.14112
rail_next_arrow,1.0000,1.0000,1.0000,0.06666,0.09828,0.00502,0.01980,0.02772
btn_disconnect_body,0.0232,0.0176,0.0382,0.00000,0.18507,0.00000,0.10020,0.01506
label_disconnect,1.0000,1.0000,1.0000,0.00000,0.18507,0.00568,0.09900,0.01386
btn_home_body,0.0232,0.0176,0.0382,0.00000,0.00951,0.00000,0.10020,0.01902
label_home,1.0000,1.0000,1.0000,0.00330,0.00951,0.00568,0.09900,0.01386
home_icon,0.3372,0.1470,0.9131,-0.01056,0.00959,0.00508,0.00495,0.00478
back_credit,1.0000,1.0000,1.0000,0.00000,0.09828,-0.00545,0.01815,0.09900
